Date,IEI,TLT
2014-12-18,118.430172,117.279392
2014-12-17,118.720936,119.404018
2014-12-16,119.273397,120.48994
2014-12-15,118.924474,119.016868
2014-12-12,119.254016,119.262382
2014-12-11,118.759706,117.666549
2014-12-10,118.982633,117.184965
2014-12-09,118.624015,116.335113
2014-12-08,118.391402,115.74022
2014-12-05,118.29448,114.342685
2014-12-04,118.817858,115.013129
2014-12-03,118.662785,114.059405
2014-12-02,118.711249,113.615593
2014-12-01,119.06986,114.729842
2014-11-28,119.118326,115.403111
2014-11-26,118.905337,114.498655
2014-11-25,118.760117,114.187746
2014-11-24,118.634263,113.245603
2014-11-21,118.556811,113.15139
2014-11-20,118.430957,112.473046
2014-11-19,118.324463,111.888922
2014-11-18,118.489043,112.604945
2014-11-17,118.401915,112.294043
2014-11-14,118.46,112.576682
2014-11-13,118.334146,112.030244
2014-11-12,118.256694,111.766438
2014-11-11,118.217968,111.860658
2014-11-10,118.227652,111.785285
2014-11-07,118.489043,112.821641
2014-11-06,118.072748,111.540326
2014-11-05,118.227652,112.26578
2014-11-04,118.217968,112.425943
2014-11-03,118.217968,112.077347
2014-10-31,118.317678,112.077351
2014-10-30,118.424054,112.368703
2014-10-29,118.317678,112.274719
2014-10-28,118.723834,112.020962
2014-10-27,118.868892,112.725851
2014-10-24,118.781862,112.519083
2014-10-23,118.77219,112.406298
2014-10-22,119.052633,113.411939
2014-10-21,119.081643,113.289761
2014-10-20,119.207356,114.201418
2014-10-17,119.07197,113.787881
2014-10-16,119.313731,114.426981
2014-10-15,119.516809,115.160064
2014-10-14,118.98494,114.257807
2014-10-13,118.907575,113.515323
2014-10-10,118.433726,112.829235
2014-10-09,118.278996,111.72021
2014-10-08,118.424054,112.20893
2014-10-07,117.998552,112.180735
2014-10-06,117.640751,110.686367
2014-10-03,117.466683,110.620577
2014-10-02,117.582724,110.150651
2014-10-01,117.718116,111.118705
2014-09-30,117.189142,109.004972
2014-09-29,117.227781,109.623736
2014-09-26,117.063571,108.751846
2014-09-25,117.26642,108.911222
2014-09-24,116.96697,107.6362
2014-09-23,117.121526,108.236209
2014-09-22,117.034594,107.570574
2014-09-19,116.822083,107.439322
2014-09-18,116.677189,106.089304
2014-09-17,116.764121,105.751798
2014-09-16,117.015271,106.023671
2014-09-15,116.937993,106.454935
2014-09-12,116.812422,106.295552
2014-09-11,116.957316,107.420575
2014-09-10,116.986293,107.776829
2014-09-09,117.092548,108.461218
2014-09-08,117.285736,108.545591
2014-09-05,117.440291,108.49872
2014-09-04,117.343698,108.704967
2014-09-03,117.498246,110.045615
2014-09-02,117.420968,109.436236
2014-08-29,117.797695,111.357203
2014-08-28,117.7205,111.28237
2014-08-27,117.604707,110.702431
2014-08-26,117.498565,109.767049
2014-08-25,117.411725,110.122499
2014-08-22,117.469618,109.710929
2014-08-21,117.566109,109.102929
2014-08-20,117.498565,108.49493
2014-08-19,117.778393,108.672654
2014-08-18,117.797695,109.009392
2014-08-15,117.923133,110.103787
2014-08-14,117.797695,108.915856
2014-08-13,117.730151,108.04595
2014-08-12,117.508216,107.344414
2014-08-11,117.546814,108.04595
2014-08-08,117.527518,108.055299
2014-08-07,117.595063,108.289144
2014-08-06,117.363476,107.288286
2014-08-05,117.315234,107.22281
2014-08-04,117.33453,106.876723
2014-08-01,117.228388,107.157333
2014-07-31,116.73724,106.334202
2014-07-30,116.698684,106.651391
2014-07-29,117.064961,108.153393
2014-07-28,117.026411,107.761568
2014-07-25,117.093884,107.910832
2014-07-24,116.930016,106.651391
2014-07-23,117.238462,107.453703
2014-07-22,117.209546,107.593642
2014-07-21,117.074602,107.369736
2014-07-18,117.103517,106.837972
2014-07-17,117.296301,107.183155
2014-07-16,116.968573,105.84908
2014-07-15,116.987855,105.289329
2014-07-14,117.093884,105.503897
2014-07-11,117.248103,105.961033
2014-07-10,117.151715,105.289329
2014-07-09,116.987855,105.261343
2014-07-08,116.920382,105.177376
2014-07-07,116.73724,104.011227
2014-07-03,116.689043,103.255564
2014-07-02,116.843269,103.628733
2014-07-01,117.103517,104.748234
2014-06-30,117.283776,105.632641
2014-06-27,117.225996,105.372096
2014-06-26,117.158592,105.53029
2014-06-25,117.014152,105.027808
2014-06-24,116.879344,104.757957
2014-06-23,116.72528,103.706464
2014-06-20,116.754167,104.032152
2014-06-19,116.783053,103.250511
2014-06-18,116.792685,104.590463
2014-06-17,116.446032,103.790215
2014-06-16,116.754167,104.618377
2014-06-13,116.792685,104.357833
2014-06-12,116.966011,104.413662
2014-06-11,116.734912,103.492449
