,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
190,124.089502,125.709999,2016-04-01,125.82,125.540001,125.760002,IEI,3596900
191,124.183274,125.949997,2016-03-31,126.040001,125.629997,125.75,IEI,627400
192,123.907203,125.669998,2016-03-30,125.720001,125.43,125.519997,IEI,319000
193,123.798745,125.559998,2016-03-29,125.610001,125.169998,125.18,IEI,527000
194,123.266319,125.019997,2016-03-28,125.139999,124.959999,125.010002,IEI,345800
195,123.207163,124.959999,2016-03-24,125.160004,124.82,125.129997,IEI,324600
196,123.276181,125.029999,2016-03-23,125.089996,124.769997,124.769997,IEI,974200
197,122.980393,124.730003,2016-03-22,125.120003,124.690002,125.040001,IEI,373600
198,123.118429,124.870003,2016-03-21,125.010002,124.870003,124.949997,IEI,606300
199,123.384638,125.139999,2016-03-18,125.160004,125.010002,125.050003,IEI,284000
200,123.128283,124.879997,2016-03-17,124.949997,124.779999,124.790001,IEI,386400
201,123.039549,124.790001,2016-03-16,124.82,124.019997,124.099998,IEI,286500
202,122.526839,124.269997,2016-03-15,124.489998,124.230003,124.419998,IEI,302300
203,122.516985,124.260002,2016-03-14,124.43,124.260002,124.300003,IEI,312000
204,122.536701,124.279999,2016-03-11,124.449997,124.18,124.449997,IEI,306200
205,122.704315,124.449997,2016-03-10,124.739998,124.389999,124.639999,IEI,257200
206,123.029687,124.779999,2016-03-09,124.879997,124.68,124.809998,IEI,318500
207,123.246603,125.00,2016-03-08,125.110001,124.919998,125.010002,IEI,276300
208,122.852212,124.599998,2016-03-07,124.690002,124.519997,124.690002,IEI,543000
209,123.039549,124.790001,2016-03-04,124.989998,124.629997,124.919998,IEI,391500
210,123.217025,124.970001,2016-03-03,125.120003,124.870003,124.889999,IEI,731400
211,123.207163,124.959999,2016-03-02,125.019997,124.809998,124.910004,IEI,589100
212,123.315621,125.07,2016-03-01,125.709999,125.029999,125.68,IEI,2269500
213,123.884529,125.779999,2016-02-29,125.809998,125.580002,125.589996,IEI,3110700
214,123.835287,125.730003,2016-02-26,125.800003,125.550003,125.779999,IEI,503000
215,124.17016,126.07,2016-02-25,126.209999,125.959999,126.040001,IEI,341200
216,123.953474,125.849998,2016-02-24,126.379997,125.769997,126.059998,IEI,482800
217,123.914076,125.809998,2016-02-23,125.910004,125.480003,125.519997,IEI,694000
218,123.815584,125.709999,2016-02-22,125.75,125.589996,125.669998,IEI,249500
219,123.845131,125.739998,2016-02-19,125.889999,125.690002,125.709999,IEI,352600
220,123.953474,125.849998,2016-02-18,125.919998,125.519997,125.589996,IEI,453600
221,123.667843,125.559998,2016-02-17,125.580002,125.360001,125.57,IEI,576400
222,123.845131,125.739998,2016-02-16,125.849998,125.639999,125.720001,IEI,396400
223,124.002723,125.900002,2016-02-12,126.220001,125.790001,126.120003,IEI,1170200
224,124.436088,126.339996,2016-02-11,126.839996,126.309998,126.739998,IEI,1861100
225,124.239105,126.139999,2016-02-10,126.18,125.75,125.919998,IEI,548000
226,124.091363,125.989998,2016-02-09,126.279999,125.980003,126.269997,IEI,783300
227,124.130762,126.029999,2016-02-08,126.099998,125.779999,125.839996,IEI,920600
228,123.648148,125.540001,2016-02-05,125.620003,125.279999,125.400002,IEI,384700
229,123.638296,125.529999,2016-02-04,125.589996,125.379997,125.529999,IEI,3260200
230,123.52011,125.410004,2016-02-03,125.800003,125.300003,125.339996,IEI,673000
231,123.490555,125.379997,2016-02-02,125.419998,125.160004,125.209999,IEI,614500
232,122.988246,124.870003,2016-02-01,125.050003,124.760002,124.879997,IEI,1320300
233,123.206899,125.239998,2016-01-29,125.25,124.980003,125.150002,IEI,1854900
234,122.793719,124.82,2016-01-28,124.849998,124.589996,124.610001,IEI,320900
235,122.646152,124.669998,2016-01-27,124.690002,124.330002,124.449997,IEI,299700
236,122.567449,124.589996,2016-01-26,124.669998,124.449997,124.529999,IEI,462900
237,122.459242,124.480003,2016-01-25,124.519997,124.339996,124.410004,IEI,402300
238,122.331347,124.349998,2016-01-22,124.389999,124.150002,124.279999,IEI,317200
239,122.508426,124.529999,2016-01-21,124.809998,124.449997,124.769997,IEI,502600
240,122.62648,124.650002,2016-01-20,124.900002,124.580002,124.68,IEI,600700
241,122.301836,124.32,2016-01-19,124.449997,124.25,124.260002,IEI,790700
242,122.41989,124.440002,2016-01-15,124.629997,124.360001,124.629997,IEI,989000
243,122.085406,124.099998,2016-01-14,124.25,123.889999,124.089996,IEI,1759600
244,122.114918,124.129997,2016-01-13,124.25,123.790001,123.800003,IEI,290000
245,121.868976,123.879997,2016-01-12,124.080002,123.540001,123.639999,IEI,422200
246,121.642714,123.650002,2016-01-11,123.809998,123.510002,123.559998,IEI,824700
247,121.79028,123.800003,2016-01-08,123.800003,123.440002,123.519997,IEI,418000
248,121.544339,123.550003,2016-01-07,123.550003,123.199997,123.410004,IEI,401100
249,121.268878,123.269997,2016-01-06,123.309998,123.099998,123.190002,IEI,261200
250,120.914729,122.910004,2016-01-05,123.00,122.790001,122.839996,IEI,345100
251,120.865538,122.860001,2016-01-04,123.080002,122.82,122.959999,IEI,1411900
252,120.619596,122.610001,2015-12-31,122.82,122.540001,122.629997,IEI,758500
253,120.491709,122.480003,2015-12-30,122.519997,122.290001,122.290001,IEI,314800
254,120.46219,122.449997,2015-12-29,122.720001,122.379997,122.690002,IEI,325900
255,120.786835,122.779999,2015-12-28,122.860001,122.68,122.68,IEI,204500
256,120.737651,122.730003,2015-12-24,122.760002,122.650002,122.709999,IEI,89900
257,120.670743,122.809998,2015-12-23,122.879997,122.75,122.839996,IEI,175300
258,120.818132,122.959999,2015-12-22,123.07,122.900002,123.040001,IEI,168700
259,121.024473,123.169998,2015-12-21,123.230003,123.080002,123.160004,IEI,172100
260,120.985169,123.129997,2015-12-18,123.199997,122.949997,123.010002,IEI,187000
261,120.719875,122.860001,2015-12-17,122.900002,122.699997,122.699997,IEI,300500
262,120.552838,122.690002,2015-12-16,122.879997,122.529999,122.779999,IEI,232200
263,120.759179,122.900002,2015-12-15,123.019997,122.82,122.879997,IEI,452900
264,120.975348,123.120003,2015-12-14,123.43,123.099998,123.360001,IEI,504800
265,121.437155,123.589996,2015-12-11,123.690002,123.339996,123.370003,IEI,740900
266,120.89674,123.040001,2015-12-10,123.199997,123.00,123.199997,IEI,648300
267,121.073605,123.220001,2015-12-09,123.279999,122.900002,123.080002,IEI,1113400
268,120.916389,123.059998,2015-12-08,123.120003,122.940002,123.089996,IEI,1145800
269,120.837788,122.980003,2015-12-07,123.080002,122.800003,122.800003,IEI,214700
270,120.670743,122.809998,2015-12-04,122.919998,122.690002,122.75,IEI,244300
271,120.503706,122.639999,2015-12-03,122.919998,122.449997,122.860001,IEI,221400
272,121.044129,123.190002,2015-12-02,123.25,123.07,123.239998,IEI,197000
273,121.279946,123.43,2015-12-01,123.480003,123.099998,123.099998,IEI,1739500
274,120.960608,123.25,2015-11-30,123.290001,123.160004,123.160004,IEI,594800
275,120.960608,123.25,2015-11-27,123.360001,123.199997,123.209999,IEI,157600
276,120.862467,123.150002,2015-11-25,123.220001,123.07,123.199997,IEI,2808000
277,120.872283,123.160004,2015-11-24,123.239998,123.089996,123.120003,IEI,258000
278,120.793767,123.080002,2015-11-23,123.129997,122.900002,122.93,IEI,202500
279,120.725068,123.010002,2015-11-20,123.169998,123.00,123.080002,IEI,251300
280,120.793767,123.080002,2015-11-19,123.160004,123.029999,123.099998,IEI,236400
281,120.68581,122.970001,2015-11-18,123.089996,122.900002,123.019997,IEI,161400
282,120.803576,123.089996,2015-11-17,123.199997,122.839996,122.900002,IEI,110600
283,120.85265,123.139999,2015-11-16,123.239998,123.080002,123.209999,IEI,218100
284,120.774135,123.059998,2015-11-13,123.059998,122.919998,122.959999,IEI,133600
285,120.479712,122.760002,2015-11-12,122.849998,122.699997,122.709999,IEI,248200
286,120.440454,122.720001,2015-11-11,123.099998,122.610001,123.099998,IEI,243100
287,120.469895,122.75,2015-11-10,122.849998,122.559998,122.559998,IEI,308600
288,120.244164,122.519997,2015-11-09,122.610001,122.389999,122.410004,IEI,395100
289,120.352122,122.629997,2015-11-06,122.660004,122.50,122.599998,IEI,308200
290,120.813392,123.099998,2015-11-05,123.169998,122.989998,123.150002,IEI,708700
291,120.862467,123.150002,2015-11-04,123.410004,123.080002,123.349998,IEI,571600
292,121.098007,123.389999,2015-11-03,123.489998,123.309998,123.489998,IEI,1082500
293,121.21578,123.510002,2015-11-02,123.639999,123.510002,123.610001,IEI,1552000
294,121.464081,123.910004,2015-10-30,123.910004,123.779999,123.790001,IEI,525500
295,121.40526,123.849998,2015-10-29,124.00,123.809998,123.970001,IEI,357000
296,121.728748,124.18,2015-10-28,124.669998,124.099998,124.610001,IEI,334200
297,122.209074,124.669998,2015-10-27,124.779999,124.639999,124.690002,IEI,237600
298,122.042431,124.50,2015-10-26,124.519997,124.389999,124.410004,IEI,195100
299,121.915,124.370003,2015-10-23,124.50,124.309998,124.50,IEI,603900
300,122.307098,124.769997,2015-10-22,124.830002,124.620003,124.709999,IEI,874100
301,122.160065,124.620003,2015-10-21,124.730003,124.57,124.57,IEI,4235300
302,122.052236,124.510002,2015-10-20,124.580002,124.43,124.489998,IEI,300800
